training_row_id,run_id,festival_year,university_id,student_count,campus_scale,booth_id,menu_id,booth_zone,menu_category,price,observation_timestamp,target_window_end,festival_day,day_of_week,is_weekend,minutes_to_close,recent_sales_5m,recent_sales_30m,previous_sales_30m,recent_tickets_30m,current_stock,initial_stock,stockout_flag,booth_ticket_count_30m,booth_unique_menu_count_1m,precipitation_probability,temperature,event_ending_soon,discount_rate,discount_elapsed_minutes,discount_arm,assigned_discount_rate,future_sales_30m,future_latent_30m,censored_window_flag,data_class
2023-zero-univ-12,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-21T16:00:00,2023-05-21T16:30:00,2,6,1,359,0,0,0,0,131,131,0,1,1,24,19.6,0,0,0,1,10,2,2,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-13,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-21T16:30:00,2023-05-21T17:00:00,2,6,1,329,2,2,0,1,129,131,0,7,1,20,19.3,0,0,0,1,10,11,11,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-14,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-21T17:00:00,2023-05-21T17:30:00,2,6,1,299,0,11,2,6,118,131,0,14,0,13,19.2,0,0,0,1,10,15,15,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-15,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-21T17:30:00,2023-05-21T18:00:00,2,6,1,269,2,15,11,8,103,131,0,23,0,33,20.0,0,0,0,1,10,17,17,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-16,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-21T18:00:00,2023-05-21T18:30:00,2,6,1,239,2,17,15,7,86,131,0,34,1,36,18.8,0,0,0,1,10,7,7,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-17,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-21T18:30:00,2023-05-21T19:00:00,2,6,1,209,2,7,17,4,79,131,0,25,1,20,18.4,0,0,0,1,10,23,23,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-18,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-21T19:00:00,2023-05-21T19:30:00,2,6,1,179,4,23,7,11,56,131,0,28,1,29,19.0,1,0,0,1,10,13,13,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-19,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-21T19:30:00,2023-05-21T20:00:00,2,6,1,149,3,13,23,6,43,131,0,29,1,34,18.2,1,10,0,1,10,18,18,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-20,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-21T20:00:00,2023-05-21T20:30:00,2,6,1,119,1,18,13,8,25,131,0,27,2,32,19.7,0,0,0,1,10,21,21,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-21,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-21T20:30:00,2023-05-21T21:00:00,2,6,1,89,7,21,18,8,4,131,0,21,0,27,17.8,0,0,0,1,10,4,4,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-22,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-21T21:00:00,2023-05-21T21:30:00,2,6,1,59,0,4,21,3,0,131,1,15,1,22,17.5,0,10,0,1,10,0,12,1,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-23,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-21T21:30:00,2023-05-21T22:00:00,2,6,1,29,0,0,4,0,0,131,1,11,1,47,17.1,0,0,0,1,10,0,9,1,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-24,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-22T16:00:00,2023-05-22T16:30:00,3,0,0,359,0,0,0,0,131,131,0,1,1,29,22.0,0,0,0,0,0,4,4,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-25,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-22T16:30:00,2023-05-22T17:00:00,3,0,0,329,0,4,0,2,127,131,0,11,0,14,20.3,0,0,0,0,0,8,8,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-26,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-22T17:00:00,2023-05-22T17:30:00,3,0,0,299,2,8,4,4,119,131,0,16,0,26,21.9,0,0,0,0,0,16,16,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-27,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-22T17:30:00,2023-05-22T18:00:00,3,0,0,269,0,16,8,7,103,131,0,28,0,30,21.9,0,0,0,0,0,5,5,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-28,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-22T18:00:00,2023-05-22T18:30:00,3,0,0,239,0,5,16,2,98,131,0,25,1,30,20.2,0,0,0,0,0,9,9,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-29,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-22T18:30:00,2023-05-22T19:00:00,3,0,0,209,0,9,5,4,89,131,0,20,0,44,19.9,0,0,0,0,0,9,9,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-30,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-22T19:00:00,2023-05-22T19:30:00,3,0,0,179,1,9,9,5,80,131,0,17,0,25,20.8,1,0,0,0,0,6,6,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-31,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-22T19:30:00,2023-05-22T20:00:00,3,0,0,149,0,6,9,3,74,131,0,22,0,16,19.5,1,0,0,0,0,10,10,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-32,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-22T20:00:00,2023-05-22T20:30:00,3,0,0,119,2,10,6,4,64,131,0,29,0,26,18.4,0,0,0,0,0,8,8,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-33,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-22T20:30:00,2023-05-22T21:00:00,3,0,0,89,4,8,10,4,56,131,0,13,1,28,20.0,0,0,0,0,0,2,2,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-34,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-22T21:00:00,2023-05-22T21:30:00,3,0,0,59,0,2,8,1,54,131,0,8,1,16,18.5,0,0,0,0,0,9,9,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-35,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-22T21:30:00,2023-05-22T22:00:00,3,0,0,29,0,9,2,6,45,131,0,13,1,35,19.9,0,0,0,0,0,6,6,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-36,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-20T16:00:00,2023-05-20T16:30:00,1,5,1,359,0,0,0,0,211,211,0,1,1,0,20.7,0,0,0,1,20,9,9,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-37,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-20T16:30:00,2023-05-20T17:00:00,1,5,1,329,0,9,0,3,202,211,0,15,0,2,21.7,0,0,0,1,20,2,2,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-38,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-20T17:00:00,2023-05-20T17:30:00,1,5,1,299,0,2,9,2,200,211,0,10,1,0,20.0,0,0,0,1,20,10,10,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-39,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-20T17:30:00,2023-05-20T18:00:00,1,5,1,269,0,10,2,4,190,211,0,23,0,0,20.6,0,0,0,1,20,18,18,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-40,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-20T18:00:00,2023-05-20T18:30:00,1,5,1,239,5,18,10,8,172,211,0,19,2,1,19.7,0,0,0,1,20,17,17,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-41,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-20T18:30:00,2023-05-20T19:00:00,1,5,1,209,0,17,18,6,155,211,0,24,1,0,20.1,0,0,0,1,20,17,17,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-42,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-20T19:00:00,2023-05-20T19:30:00,1,5,1,179,5,17,17,10,138,211,0,25,1,0,18.7,1,20,0,1,20,12,12,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-43,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-20T19:30:00,2023-05-20T20:00:00,1,5,1,149,2,12,17,7,126,211,0,28,0,0,18.9,1,20,30,1,20,15,15,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-44,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-20T20:00:00,2023-05-20T20:30:00,1,5,1,119,0,15,12,5,111,211,0,21,0,0,18.2,0,0,0,1,20,15,15,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-45,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-20T20:30:00,2023-05-20T21:00:00,1,5,1,89,0,15,15,6,96,211,0,16,0,2,18.5,0,0,0,1,20,15,15,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-46,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-20T21:00:00,2023-05-20T21:30:00,1,5,1,59,4,15,15,6,81,211,0,19,1,0,17.8,0,20,0,1,20,4,4,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-47,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-20T21:30:00,2023-05-20T22:00:00,1,5,1,29,0,4,15,2,77,211,0,9,0,1,17.0,0,20,30,1,20,11,11,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-48,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-21T16:00:00,2023-05-21T16:30:00,2,6,1,359,1,1,0,1,210,211,0,1,1,24,19.6,0,0,0,0,0,6,6,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-49,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-21T16:30:00,2023-05-21T17:00:00,2,6,1,329,2,6,1,3,204,211,0,7,1,20,19.3,0,0,0,0,0,3,3,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-50,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-21T17:00:00,2023-05-21T17:30:00,2,6,1,299,0,3,6,2,201,211,0,14,0,13,19.2,0,0,0,0,0,12,12,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-51,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-21T17:30:00,2023-05-21T18:00:00,2,6,1,269,0,12,3,5,189,211,0,23,0,33,20.0,0,0,0,0,0,32,32,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-52,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-21T18:00:00,2023-05-21T18:30:00,2,6,1,239,6,32,12,14,157,211,0,34,1,36,18.8,0,0,0,0,0,25,25,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-53,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-21T18:30:00,2023-05-21T19:00:00,2,6,1,209,4,25,32,9,132,211,0,25,1,20,18.4,0,0,0,0,0,14,14,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-54,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-21T19:00:00,2023-05-21T19:30:00,2,6,1,179,1,14,25,6,118,211,0,28,1,29,19.0,1,0,0,0,0,30,30,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-55,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-21T19:30:00,2023-05-21T20:00:00,2,6,1,149,14,30,14,13,88,211,0,29,1,34,18.2,1,0,0,0,0,20,20,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-56,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-21T20:00:00,2023-05-21T20:30:00,2,6,1,119,3,20,30,10,68,211,0,27,2,32,19.7,0,0,0,0,0,14,14,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-57,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-21T20:30:00,2023-05-21T21:00:00,2,6,1,89,1,14,20,6,54,211,0,21,0,27,17.8,0,0,0,0,0,7,7,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-58,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-21T21:00:00,2023-05-21T21:30:00,2,6,1,59,2,7,14,3,47,211,0,15,1,22,17.5,0,0,0,0,0,13,13,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-59,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-21T21:30:00,2023-05-21T22:00:00,2,6,1,29,1,13,7,6,34,211,0,11,1,47,17.1,0,0,0,0,0,11,11,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-60,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-22T16:00:00,2023-05-22T16:30:00,3,0,0,359,0,0,0,0,211,211,0,1,1,29,22.0,0,0,0,1,30,4,4,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-61,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-22T16:30:00,2023-05-22T17:00:00,3,0,0,329,0,4,0,2,207,211,0,11,0,14,20.3,0,0,0,1,30,9,9,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-62,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-22T17:00:00,2023-05-22T17:30:00,3,0,0,299,1,9,4,6,198,211,0,16,0,26,21.9,0,0,0,1,30,23,23,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-63,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-22T17:30:00,2023-05-22T18:00:00,3,0,0,269,2,23,9,10,175,211,0,28,0,30,21.9,0,0,0,1,30,20,20,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-64,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-22T18:00:00,2023-05-22T18:30:00,3,0,0,239,1,20,23,8,155,211,0,25,1,30,20.2,0,0,0,1,30,11,11,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-65,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-22T18:30:00,2023-05-22T19:00:00,3,0,0,209,3,11,20,5,144,211,0,20,0,44,19.9,0,30,0,1,30,8,8,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-66,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-22T19:00:00,2023-05-22T19:30:00,3,0,0,179,1,8,11,4,136,211,0,17,0,25,20.8,1,0,0,1,30,10,10,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-67,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-22T19:30:00,2023-05-22T20:00:00,3,0,0,149,5,10,8,5,126,211,0,22,0,16,19.5,1,0,0,1,30,30,30,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-68,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-22T20:00:00,2023-05-22T20:30:00,3,0,0,119,9,30,10,11,96,211,0,29,0,26,18.4,0,30,0,1,30,8,8,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-69,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-22T20:30:00,2023-05-22T21:00:00,3,0,0,89,0,8,30,4,88,211,0,13,1,28,20.0,0,30,30,1,30,0,0,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-70,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-22T21:00:00,2023-05-22T21:30:00,3,0,0,59,0,0,8,0,88,211,0,8,1,16,18.5,0,0,0,1,30,7,7,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-71,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M02,A,drink,3500.0,2023-05-22T21:30:00,2023-05-22T22:00:00,3,0,0,29,0,7,0,4,81,211,0,13,1,35,19.9,0,30,0,1,30,3,3,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-72,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-20T16:00:00,2023-05-20T16:30:00,1,5,1,359,0,0,0,0,126,126,0,1,1,0,20.7,0,0,0,0,0,4,4,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-73,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-20T16:30:00,2023-05-20T17:00:00,1,5,1,329,0,4,0,2,122,126,0,15,0,2,21.7,0,0,0,0,0,5,5,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-74,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-20T17:00:00,2023-05-20T17:30:00,1,5,1,299,3,5,4,2,117,126,0,10,1,0,20.0,0,0,0,0,0,6,6,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-75,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-20T17:30:00,2023-05-20T18:00:00,1,5,1,269,0,6,5,4,111,126,0,23,0,0,20.6,0,0,0,0,0,10,10,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-76,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-20T18:00:00,2023-05-20T18:30:00,1,5,1,239,3,10,6,5,101,126,0,19,2,1,19.7,0,0,0,0,0,9,9,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-77,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-20T18:30:00,2023-05-20T19:00:00,1,5,1,209,1,9,10,5,92,126,0,24,1,0,20.1,0,0,0,0,0,6,6,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-78,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-20T19:00:00,2023-05-20T19:30:00,1,5,1,179,5,6,9,3,86,126,0,25,1,0,18.7,1,0,0,0,0,17,17,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-79,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-20T19:30:00,2023-05-20T20:00:00,1,5,1,149,5,17,6,7,69,126,0,28,0,0,18.9,1,0,0,0,0,7,7,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-80,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-20T20:00:00,2023-05-20T20:30:00,1,5,1,119,0,7,17,2,62,126,0,21,0,0,18.2,0,0,0,0,0,2,2,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-81,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-20T20:30:00,2023-05-20T21:00:00,1,5,1,89,0,2,7,1,60,126,0,16,0,2,18.5,0,0,0,0,0,14,14,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-82,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-20T21:00:00,2023-05-20T21:30:00,1,5,1,59,0,14,2,7,46,126,0,19,1,0,17.8,0,0,0,0,0,5,5,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-83,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-20T21:30:00,2023-05-20T22:00:00,1,5,1,29,3,5,14,4,41,126,0,9,0,1,17.0,0,0,0,0,0,8,8,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-84,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-21T16:00:00,2023-05-21T16:30:00,2,6,1,359,0,0,0,0,126,126,0,1,1,24,19.6,0,0,0,1,20,0,0,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-85,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-21T16:30:00,2023-05-21T17:00:00,2,6,1,329,0,0,0,0,126,126,0,7,1,20,19.3,0,0,0,1,20,3,3,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-86,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-21T17:00:00,2023-05-21T17:30:00,2,6,1,299,0,3,0,2,123,126,0,14,0,13,19.2,0,0,0,1,20,6,6,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-87,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-21T17:30:00,2023-05-21T18:00:00,2,6,1,269,0,6,3,3,117,126,0,23,0,33,20.0,0,0,0,1,20,11,11,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-88,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-21T18:00:00,2023-05-21T18:30:00,2,6,1,239,1,11,6,4,106,126,0,34,1,36,18.8,0,0,0,1,20,9,9,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-89,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M03,A,dessert,4500.0,2023-05-21T18:30:00,2023-05-21T19:00:00,2,6,1,209,0,9,11,4,97,126,0,25,1,20,18.4,0,0,0,1,20,9,9,0,SYNTHETIC_FINAL_TRAINING
